entity,label,frequency,source_count,source_urls
"102,550",MONEY,1,1,https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/
Toyota Europe’S,ORG,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
Akio Toyoda,PERSON,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
1997,DATE,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
Mazda,ORG,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
"Aug 05, 2025",DATE,1,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
January,DATE,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
Ontario,GPE,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Lg Energy Solution,ORG,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Nextstar Energy,ORG,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Windsor,GPE,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Ford Of Europe,ORG,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
Toluca,GPE,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Mexico,GPE,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
March,DATE,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Gon,ORG,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Trump,PERSON,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Quarterly,DATE,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
About $26 Billion,MONEY,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Around 1.3 Billion Euros,MONEY,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
The End Of April,DATE,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
August 1,DATE,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Magnus Walker,PERSON,1,1,https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/
"224,495",MONEY,1,1,https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/
Autonews,ORG,1,1,https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/
"53,000",MONEY,1,1,https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/
"230,000",MONEY,1,1,https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/
V4Smart Gmbh,ORG,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
"178,850",MONEY,1,1,https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/
Bavaria,GPE,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Nördlingen,GPE,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
V4Smart,ORG,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Few Months,DATE,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
394 Million Euros,MONEY,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
1.12 Billion Euros,MONEY,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
The First Half Of The Year,DATE,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
The First Six Months Of 2025,DATE,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
2018,DATE,1,1,https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Jim Rowan,PERSON,1,1,https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
J.D. Power Apeal,ORG,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Last Weekend,DATE,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Volvo Cars,ORG,1,1,https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Ellwangen,GPE,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
400 Million Euros,MONEY,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
The Executive Board For Finance And It,ORG,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Japan,GPE,1,1,https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Ing. H.C. F. Porsche Ag,PERSON,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
The First Half Of 2025,DATE,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Around 200 Million Euros,MONEY,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Around 500 Million Euros,MONEY,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Just A Few Years Ago,DATE,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Bmw Ag,ORG,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Mercedes-Benz Group Ag,ORG,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Aston Martin Lagonda Global Holdings Plc,ORG,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Stellantis Nv,ORG,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Frankfurt,GPE,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Billions Of Euros,MONEY,1,1,https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Xpeng Inc.,ORG,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Tesla Inc.,ORG,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Alternative Für Deutschland,ORG,1,1,https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Matthias Schmidt,PERSON,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Hamburg,GPE,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Sweden,GPE,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Renault Sa,ORG,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Mg,ORG,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Olaf Scholz,PERSON,1,1,https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Thuringia,GPE,1,1,https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Skoda,ORG,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Saic Motor Corp.,ORG,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Decades,DATE,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Seat,ORG,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Jefferies,ORG,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Philippe Houchois,PERSON,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
The Formula E,ORG,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
London,GPE,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
The Eu Commission'S,ORG,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Five Years,DATE,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Byd Co.,ORG,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
The Second Half Of This Year,DATE,1,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Arno Antlitz,PERSON,1,1,https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Daniela Cavallo,PERSON,1,1,https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Ig Metall,ORG,1,1,https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Cavallo,PERSON,1,1,https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
$289.6 Billion,MONEY,1,1,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
E322.3 Billion,MONEY,1,1,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
$351.0 Billion,MONEY,1,1,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
324.7 Billion Euros,MONEY,1,1,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
$353.6 Billion,MONEY,1,1,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
Third-Quarter,DATE,1,1,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
Rivian,ORG,1,1,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
Three Months,DATE,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
July,DATE,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Volkswagen Ag’S,ORG,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Walen,PERSON,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
$20.8 Billion,MONEY,1,1,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
The First Half,DATE,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Jeep Ram,ORG,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
E19.1 Billion,MONEY,1,1,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
E265.9 Billion,MONEY,1,1,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
$26.2 Billion,MONEY,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
$23.8 Billion,MONEY,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Full-Year,DATE,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
$26 Billion,MONEY,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Seattle,GPE,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
New Orleans,GPE,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
$2.2 Billion,MONEY,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Nada,ORG,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
The Past Few Years,DATE,1,1,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
The Trump Administration,ORG,1,1,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
Stellantis Nv'S,ORG,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
Las Vegas,GPE,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
E22.5 Billion,MONEY,1,1,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
The Third Quarter,DATE,1,1,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
Recent Years,DATE,1,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
$24.5 Billion,MONEY,1,1,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
Norway,GPE,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
The Detroit News,ORG,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
Jeff Kommor,PERSON,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
National Automobile Dealers Association,ORG,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
Carlos Tavares,PERSON,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
Year-Over-Year,DATE,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
The Past Year,DATE,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
The Last Two Years,DATE,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
Tata Motors,ORG,1,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
2008,DATE,1,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
The Last Several Years,DATE,1,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
The United Kingdom’S,GPE,1,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Acea,ORG,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
Bentley,ORG,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
India,GPE,1,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
The Bumpy Year,DATE,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
The Norwegian Road Federation,ORG,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
The International Energy Agency,ORG,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
The First Eight Months Of The Year,DATE,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
Ofv,ORG,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
2028,DATE,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
Oliver Zipse,PERSON,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
Jim Walen,PERSON,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
Experian Automotive,ORG,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
More Than €10 Billion,MONEY,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
The European Union’S,ORG,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
Lg,ORG,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Andrea Carlucci,PERSON,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
$1.4 Billion,MONEY,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
$6 Billion,MONEY,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
"Up To $10,500",MONEY,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
December 2024,DATE,1,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
