entity,label,frequency,source_count,source_urls
This Year,DATE,8,4,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/ | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
US,GPE,8,4,https://newsroom.porsche.com/en/2025/company/porsche-realignment-product-strategy-40594.html | https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html | https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/ | https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
2023,DATE,7,3,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/ | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan | https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Dodge,ORG,6,2,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Annual,DATE,6,4,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/ | https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
The Year,DATE,6,3,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
Previous Year,DATE,5,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Porsche Ag,ORG,5,2,https://newsroom.porsche.com/en/2025/company/porsche-realignment-product-strategy-40594.html | https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
The 2025 Financial Year,DATE,5,1,https://newsroom.porsche.com/en/2025/company/porsche-realignment-product-strategy-40594.html
2030,DATE,5,3,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns | https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Blume,PERSON,4,4,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/ | https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html | https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/ | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
Wednesday,DATE,4,2,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Last Year,DATE,4,2,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Tesla,ORG,4,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Iea,ORG,3,2,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Years,DATE,3,3,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html | https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
The United States,GPE,3,3,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/ | https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Volvo,ORG,3,2,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
A Few Years,DATE,3,3,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan | https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Filosa,ORG,3,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
2035,DATE,3,3,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan | https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
A Year Ago,DATE,3,2,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Wolfsburg,GPE,3,2,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan | https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Jochen Breckner,PERSON,3,2,https://newsroom.porsche.com/en/2025/company/porsche-realignment-product-strategy-40594.html | https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Matt,PERSON,3,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Today,DATE,3,3,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://newsroom.porsche.com/en/2025/company/porsche-realignment-product-strategy-40594.html | https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Ttac,ORG,3,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
The 2030S,DATE,3,1,https://newsroom.porsche.com/en/2025/company/porsche-realignment-product-strategy-40594.html
Audi,ORG,3,2,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/ | https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
Antonio Filosa,PERSON,2,2,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
December,DATE,2,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Fourth-Quarter,DATE,2,2,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
June,DATE,2,2,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
The First Half Of This Year,DATE,2,2,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
18.16 Billion Euros,MONEY,2,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
1.01 Billion Euros,MONEY,2,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
The Wall Street Journal,ORG,2,1,https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/
The Executive Board,ORG,2,2,https://newsroom.porsche.com/en/2025/company/porsche-realignment-product-strategy-40594.html | https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Later This Year,DATE,2,1,https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/
37 To 38 Billion Euros,MONEY,2,2,https://newsroom.porsche.com/en/2025/company/porsche-realignment-product-strategy-40594.html | https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
2020,DATE,2,2,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
The Previous Year,DATE,2,2,https://newsroom.porsche.com/en/2025/company/porsche-realignment-product-strategy-40594.html | https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Automotive News,ORG,2,1,https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/
Breckner,PERSON,2,1,https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html
Volkswagen Group,ORG,2,1,https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/
Chrysler,ORG,2,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
The Next Few Months,DATE,2,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
Kommor,ORG,2,1,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/
Gm,ORG,2,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
The European Automobile Manufacturers’ Association,ORG,2,2,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
This Month,DATE,2,2,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/ | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Byd,ORG,2,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
Monday,DATE,2,2,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/ | https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Antlitz,ORG,2,1,https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Friday,DATE,2,1,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/
A Year,DATE,2,2,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan | https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Volkswagen Group’S,ORG,2,1,https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
2019,DATE,2,1,https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
The Second Half Of 2025,DATE,2,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
The Volkswagen Group’S,ORG,2,1,https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
Canada,GPE,2,2,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
Ford,ORG,2,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Next Year,DATE,2,2,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/
Jaguar Land Rover Automotive Plc,ORG,1,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Ten Years Ago,DATE,1,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
The Last 100 Years,DATE,1,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Future Fiscal Years,DATE,1,1,https://newsroom.porsche.com/en/2025/company/porsche-realignment-product-strategy-40594.html
The Volkswagen Group,ORG,1,1,https://newsroom.porsche.com/en/2025/company/porsche-realignment-product-strategy-40594.html
The European Union,GPE,1,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
A Mercedes-Benz,ORG,1,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
These Days,DATE,1,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Years Ago,DATE,1,1,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/
$10,MONEY,1,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Ajla,PERSON,1,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
$19.5 Billion,MONEY,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
April,DATE,1,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
The Daily Mail,ORG,1,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
This Time,DATE,1,1,https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
